Date,Confirmed,Cured,Deaths
2020-01-30,1,0,0
2020-01-31,1,0,0
2020-02-01,2,0,0
2020-02-02,3,0,0
2020-02-03,3,0,0
2020-02-04,3,0,0
2020-02-05,3,0,0
2020-02-06,3,0,0
2020-02-07,3,0,0
2020-02-08,3,0,0
2020-02-09,3,0,0
2020-02-10,3,0,0
2020-02-11,3,0,0
2020-02-12,3,0,0
2020-02-13,3,0,0
2020-02-14,3,0,0
2020-02-15,3,0,0
2020-02-16,3,0,0
2020-02-17,3,0,0
2020-02-18,3,0,0
2020-02-19,3,0,0
2020-02-20,3,0,0
2020-02-21,3,0,0
2020-02-22,3,0,0
2020-02-23,3,0,0
2020-02-24,3,0,0
2020-02-25,3,0,0
2020-02-26,3,0,0
2020-02-27,3,0,0
2020-02-28,3,0,0
2020-02-29,3,0,0
2020-03-01,3,0,0
2020-03-02,2,0,0
2020-03-03,2,1,0
2020-03-04,5,0,0
2020-03-05,5,0,0
2020-03-06,5,0,0
2020-03-07,4,0,0
2020-03-08,5,0,0
2020-03-09,4,0,0
2020-03-10,5,0,0
2020-03-11,5,0,0
2020-03-12,6,0,0
2020-03-13,6,0,0
2020-03-14,6,1,0
2020-03-15,8,1,0
2020-03-16,8,1,0
2020-03-17,9,1,0
2020-03-18,9,1,0
2020-03-19,9,1,0
2020-03-20,11,1,0
2020-03-21,13,1,0
2020-03-22,16,1,0
2020-03-23,19,1,0
2020-03-24,22,2,0
2020-03-25,24,2,0
2020-03-26,26,2,1
2020-03-27,27,2,1
2020-03-28,34,3,1
2020-03-29,38,4,1
2020-03-30,45,4,1
2020-03-31,50,4,1
2020-04-01,63,5,1
2020-04-02,71,5,2
2020-04-03,82,5,2
2020-04-04,102,7,2
2020-04-05,119,9,3
2020-04-06,143,11,4
2020-04-07,154,11,4
2020-04-08,170,13,5
2020-04-09,189,15,5
2020-04-10,218,17,7
2020-04-11,243,21,8
2020-04-12,272,25,9
2020-04-13,292,31,10
2020-04-14,328,36,11
2020-04-15,362,41,12
2020-04-16,387,46,13
2020-04-17,419,54,14
2020-04-18,448,61,15
2020-04-19,488,70,16
2020-04-20,535,86,17
2020-04-21,575,99,18
2020-04-22,640,124,20
2020-04-23,678,135,21
2020-04-24,733,150,23
2020-04-25,778,163,24
2020-04-26,831,185,26
2020-04-27,880,199,28
2020-04-28,932,220,29
2020-04-29,991,244,32
2020-04-30,1042,262,34
2020-05-01,1093,283,36
2020-05-02,1161,311,38
2020-05-03,1254,340,41
2020-05-04,1339,368,43
2020-05-05,1460,411,49
2020-05-06,1497,430,51
2020-05-07,1605,463,54
2020-05-08,1707,501,57
2020-05-09,1808,541,60
2020-05-10,1907,587,64
2020-05-11,2035,634,67
2020-05-12,2144,680,69
2020-05-13,2251,739,73
2020-05-14,2364,795,77
