Date,Confirmed,Cured,Deaths
1,532360,435678,5885
2,543263,444230,5987
3,553489,452583,6082
4,563412,461480,6178
5,574032,470881,6283
6,585484,480023,6394
7,596989,489232,6502
8,608130,498082,6619
9,619345,508817,6732
10,629516,518645,6837
11,638681,528536,6944
12,648359,538407,7061
13,658435,548190,7175
14,667967,557767,7287
15,677025,567580,7395
16,685669,577648,7508
17,693485,588169,7622
18,700805,599903,7742
19,708231,610732,7868
20,715901,620984,7976
21,723111,630909,8093
22,730258,640843,8209
23,736948,650707,8313
24,743124,659111,8437
25,748580,668191,8534
26,754383,676412,8650
27,760253,684276,8757
28,765429,691484,8858
29,770257,699389,8959
30,774856,707064,9055
31,779098,713676,9142
